room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Private room,92,1,17,1.5,363
Private room,85,3,48,2.5,123
Entire home/apt,204,2,5,2.5,161
Shared room,129,1,1,0.1,365
Entire home/apt,200,2,1,1,8
Private room,89,1,28,3,127
Private room,290,1,0,,365
Private room,75,1,0,,82
Shared room,69,1,2,0.3,365
Private room,150,1,0,,60
Entire home/apt,550,5,1,0.2,172
Private room,110,2,14,0.5,365
Private room,85,3,0,,337
Entire home/apt,175,5,15,0.7,359
Entire home/apt,205,3,89,3,270
Private room,135,1,0,,0
Entire home/apt,500,2,85,3.2,11
Private room,125,3,74,2.1,333
Entire home/apt,175,1,0,,239
Entire home/apt,250,3,1,0.9,73
Private room,110,1,1,0.3,133
Entire home/apt,199,1,28,0.9,140
Private room,100,1,13,1.6,275
Entire home/apt,204,1,0,,20
Entire home/apt,150,1,14,1.9,93
Entire home/apt,300,3,4,0.2,127
Entire home/apt,415,3,79,2.1,123
Entire home/apt,750,1,1,0.2,201
Private room,140,3,31,1.7,358
Private room,80,1,0,,364
Entire home/apt,400,4,2,0.3,123
Private room,150,1,1,0.7,29
Private room,40,30,11,0.4,225
Entire home/apt,180,6,1,0.1,266
Shared room,55,1,20,1.1,196
Entire home/apt,300,7,26,0.8,328
Shared room,89,1,63,3,319
Private room,120,3,81,2.4,345
Private room,79,15,4,0.2,258
Private room,98,1,23,1.6,316
Entire home/apt,198,1,3,3,140
Private room,72,7,9,0.8,291
Private room,141,2,2,0.7,365
Private room,130,1,1,1,314
Shared room,29,25,2,0.1,278
Entire home/apt,1000,1,10,0.4,281
Entire home/apt,225,3,7,1.1,269
Entire home/apt,299,1,0,,365
Entire home/apt,165,2,2,0.2,173
Entire home/apt,175,1,1,1,0
Entire home/apt,175,25,0,,365
Entire home/apt,1150,3,19,0.9,358
Entire home/apt,299,2,1,0.2,195
Entire home/apt,160,2,0,,24
Entire home/apt,249,2,32,1.8,144
Entire home/apt,150,1,8,1.7,67
Entire home/apt,100,1,198,3.8,119
Private room,220,1,0,,6
Entire home/apt,145,28,15,0.6,324
Shared room,43,1,84,1.9,181
Private room,100,5,9,0.5,309
Private room,150,1,0,,207
Entire home/apt,1000,3,17,0.4,356
Private room,155,1,1,1,346
Private room,105,1,0,,346
Private room,60,7,0,,365
Private room,84,1,27,4.6,279
Entire home/apt,400,2,45,4.2,320
Entire home/apt,245,2,4,0.3,83
Entire home/apt,175,2,109,3.6,251
Private room,185,2,8,0.6,334
Private room,65,1,17,4.1,319
Entire home/apt,198,1,8,4.3,249
Entire home/apt,250,1,3,0.4,122
Entire home/apt,189,3,14,2.9,275
Private room,199,1,0,,251
Entire home/apt,250,1,44,3,159
Private room,150,1,51,2.6,158
Entire home/apt,200,30,63,2.1,309
Entire home/apt,130,2,97,3,235
Entire home/apt,297,4,6,0.2,365
Entire home/apt,45,1,3,0.5,96
Entire home/apt,195,3,58,2.2,216
Entire home/apt,169,1,15,0.4,365
Shared room,83,1,9,1,365
Shared room,50,5,7,0.7,346
Entire home/apt,200,7,2,0.3,365
Entire home/apt,334,1,48,6,6
Entire home/apt,130,1,41,1.1,0
Entire home/apt,198,1,0,,77
Entire home/apt,145,1,5,0.6,121
Entire home/apt,270,3,22,1,94
Entire home/apt,199,1,0,,126
Entire home/apt,495,2,11,0.3,345
Shared room,65,1,5,1.1,314
Entire home/apt,160,2,151,5.6,258
Private room,80,3,0,,344
Entire home/apt,125,1,0,,124
Entire home/apt,375,4,1,0.3,135
Private room,120,3,51,3,0
Entire home/apt,425,2,31,1.3,331
Entire home/apt,200,1,5,0.5,0
Private room,170,3,16,1.3,335
Private room,295,4,14,1,364
Entire home/apt,199,2,8,1.6,352
Entire home/apt,714,7,0,,365
Entire home/apt,350,2,4,0.5,365
Entire home/apt,215,2,0,,17
Entire home/apt,195,2,0,,20
Entire home/apt,145,3,210,4.8,241
Private room,180,1,0,,365
Private room,175,1,14,1.1,335
Entire home/apt,250,3,2,0.1,253
Entire home/apt,475,7,0,,136
Entire home/apt,220,1,43,2.9,22
Entire home/apt,175,2,59,3.3,242
Entire home/apt,182,2,3,0.2,159
Private room,180,3,60,3.5,177
Entire home/apt,180,1,12,1.1,48
Private room,70,7,0,,170
Entire home/apt,179,2,2,0.3,304
Entire home/apt,195,4,8,0.9,317
Entire home/apt,229,5,30,1.7,0
Entire home/apt,275,2,13,2.9,86
Entire home/apt,175,31,100,2,257
Entire home/apt,180,1,58,4.2,44
Entire home/apt,170,2,13,0.4,58
Entire home/apt,300,1,1,0.1,238
Entire home/apt,589,5,0,,159
Private room,135,1,30,2.2,156
Private room,89,1,148,4.3,280
Entire home/apt,135,2,91,1.7,282
Entire home/apt,190,2,44,2.9,30
Entire home/apt,175,7,10,0.2,365
Entire home/apt,250,2,17,2.4,61
Entire home/apt,325,3,3,0.1,175
Private room,225,1,117,5.7,247
Private room,120,3,3,0.4,365
Entire home/apt,350,30,32,0.9,365
Entire home/apt,129,1,0,,351
Private room,125,2,53,1.2,269
Entire home/apt,156,2,9,0.3,326
Private room,180,3,6,0.3,365
Entire home/apt,400,3,4,0.4,144
Entire home/apt,155,2,1,0.4,260
Private room,165,1,85,3.9,300
Entire home/apt,239,3,0,,14
Private room,170,1,12,0.7,351
Private room,89,1,0,,355
Entire home/apt,204,3,1,0.2,128
Private room,90,1,2,0.2,278
Entire home/apt,250,3,27,0.9,360
Entire home/apt,160,45,29,1.2,193
Entire home/apt,120,2,4,0.9,123
Entire home/apt,115,1,111,2.5,121
Private room,90,4,0,,24
Private room,200,1,17,1.6,365
Private room,57,3,1,0.2,180
Private room,75,5,35,1.3,130
Entire home/apt,395,1,1,0.9,363
Entire home/apt,300,5,1,0.1,52
Private room,75,1,0,,28
Entire home/apt,169,3,158,3.6,4
Entire home/apt,139,1,4,0.7,357
Private room,170,2,30,1.4,361
Entire home/apt,200,1,10,1.2,153
Entire home/apt,300,3,58,2.4,273
Entire home/apt,228,30,19,1.2,339
Private room,98,30,26,1.4,295
Private room,250,14,11,0.3,365
Private room,60,1,30,0.9,324
Shared room,70,5,5,0.5,356
Entire home/apt,295,1,3,0.2,0
Private room,110,2,0,,364
Entire home/apt,179,3,0,,361
Shared room,50,3,19,2.3,355
Private room,169,3,46,2,292
Entire home/apt,525,2,50,1.5,343
Private room,125,2,25,0.8,259
Private room,199,3,3,0.5,90
Entire home/apt,135,4,9,0.2,285
Private room,99,2,2,0.5,163
Entire home/apt,225,3,75,2.5,272
Entire home/apt,250,3,54,3.3,42
Entire home/apt,199,1,0,,48
Private room,75,3,0,,8
Private room,130,2,36,1.7,110
Private room,99,2,66,1.6,266
Entire home/apt,179,1,20,2,213
Private room,110,2,160,3.4,321
Private room,119,2,6,1,277
Entire home/apt,240,3,3,0.2,0
Entire home/apt,260,21,7,0.3,148
Entire home/apt,125,2,77,3.1,288
Entire home/apt,160,3,40,3.8,294
Entire home/apt,120,2,12,2.3,136
Entire home/apt,180,1,5,0.9,140
Private room,116,1,0,,282
Entire home/apt,153,3,0,,19
Private room,110,3,48,4,179
Private room,99,1,0,,340
Entire home/apt,390,5,0,,186
Entire home/apt,180,3,5,0.9,173
Entire home/apt,155,5,8,1.1,149
Private room,125,2,40,3.7,335
Entire home/apt,300,1,0,,0
Private room,90,2,13,0.8,100
Private room,180,2,14,3,75
Entire home/apt,389,2,0,,50
Entire home/apt,140,1,93,6,260
Entire home/apt,300,1,0,,6
Private room,145,1,5,2.9,123
Entire home/apt,325,30,4,0.1,365
Entire home/apt,140,2,35,4.2,279
Entire home/apt,200,1,64,4.6,289
Private room,120,1,0,,67
Private room,75,1,2,0.2,337
Private room,79,14,1,0,276
Entire home/apt,525,2,50,2.7,319
Entire home/apt,185,3,4,3.4,272
Private room,105,3,20,0.6,311
Shared room,50,30,8,0.8,226
Entire home/apt,350,3,1,0.1,237
Entire home/apt,250,2,28,2.5,214
Entire home/apt,350,2,3,0.4,362
Private room,95,10,0,,240
Private room,120,2,28,4,118
Private room,125,2,4,1.1,142
Private room,100,1,10,1,0
Private room,115,1,1,0.3,227
Private room,250,1,0,,53
Private room,60,20,0,,137
Private room,89,14,0,,276
Private room,79,1,93,4.2,293
Entire home/apt,150,2,7,0.8,295
Entire home/apt,550,1,3,0.3,132
Entire home/apt,275,2,3,0.1,122
Entire home/apt,250,2,4,0.2,0
Entire home/apt,190,1,78,2.2,285
Entire home/apt,1195,3,2,0.3,271
Entire home/apt,390,3,20,0.9,242
Private room,68,7,6,0.1,288
Entire home/apt,190,2,8,0.2,355
Entire home/apt,330,5,3,0.3,18
Private room,195,3,69,1.9,352
Private room,165,3,89,2.5,346
Entire home/apt,120,1,0,,0
Private room,99,1,84,5,329
Entire home/apt,345,3,55,3.9,258
Entire home/apt,395,1,1,0.1,362
Entire home/apt,350,2,0,,364
Entire home/apt,250,3,11,2.1,133
Shared room,50,5,10,1,340
Private room,145,3,0,,138
Private room,99,2,6,0.6,0
Private room,90,3,127,2.9,282
Entire home/apt,495,3,11,1.9,282
Private room,105,2,1,0.7,160
Private room,90,1,2,0.4,250
Private room,125,3,1,0.2,352
Entire home/apt,300,2,2,0.2,201
Entire home/apt,300,3,37,0.8,267
Entire home/apt,175,10,6,0.5,115
Private room,89,1,72,3.1,333
Entire home/apt,400,1,0,,22
Private room,100,1,0,,365
Entire home/apt,400,3,35,1.6,272
Entire home/apt,230,4,39,3.5,213
Private room,245,3,56,1.6,362
Entire home/apt,100,2,0,,1
Entire home/apt,150,1,8,0.4,170
Entire home/apt,225,3,2,0.3,131
Entire home/apt,175,2,72,4.3,123
Entire home/apt,175,2,3,2.1,339
Entire home/apt,275,5,5,0.1,10
Private room,100,1,0,,131
Entire home/apt,290,2,6,0.5,183
Entire home/apt,195,3,9,0.9,3
Entire home/apt,115,2,7,0.8,150
Entire home/apt,375,2,19,0.5,316
Entire home/apt,150,3,43,0.8,185
Entire home/apt,125,2,5,0.2,298
Entire home/apt,325,3,7,0.3,135
Entire home/apt,250,3,4,0.5,151
Entire home/apt,500,3,39,0.9,315
Entire home/apt,550,5,8,0.8,174
Entire home/apt,130,2,2,0.3,117
Entire home/apt,220,1,13,1.1,344
Entire home/apt,295,2,86,2.2,308
Private room,99,1,52,2.3,333
Entire home/apt,300,2,7,0.6,133
Private room,115,1,10,3.2,66
Entire home/apt,295,2,67,1.5,303
Private room,90,1,190,7.4,251
Private room,80,1,1,0.2,201
Private room,300,1,0,,365
Private room,385,2,0,,123
Entire home/apt,90,2,5,0.5,248
Entire home/apt,399,3,42,1.8,298
Private room,100,3,3,0.1,365
Private room,137,1,35,3.1,326
Entire home/apt,170,2,8,0.4,123
Private room,120,2,130,4.3,246
Private room,115,1,99,6.8,151
Entire home/apt,205,1,1,1,272
Entire home/apt,145,1,18,0.7,136
Private room,110,1,0,,243
Entire home/apt,150,3,52,2.2,102
Entire home/apt,180,2,70,5.9,200
Entire home/apt,300,2,0,,44
Entire home/apt,175,1,62,2.1,278
Entire home/apt,250,1,36,2,335
Entire home/apt,150,2,0,,0
Private room,120,1,6,0.6,329
Entire home/apt,1250,5,8,1,359
Private room,105,2,3,0.3,290
Entire home/apt,195,3,76,1.7,288
Entire home/apt,285,3,45,1.5,280
Entire home/apt,135,3,11,0.5,119
Private room,190,1,0,,329
Private room,200,1,0,,363
Private room,180,3,62,2.8,161
Private room,110,1,12,0.3,303
Private room,99,2,27,0.8,356
Private room,125,3,6,0.6,365
Entire home/apt,650,7,9,1.4,276
Entire home/apt,165,2,4,0.5,356
Entire home/apt,230,1,0,,51
Private room,144,1,0,,365
Entire home/apt,165,3,5,1,253
Entire home/apt,120,3,148,4.6,192
Private room,103,1,5,1.2,235
Entire home/apt,145,1,137,5.9,183
Entire home/apt,200,2,17,1.4,27
Private room,130,1,1,0.1,365
Private room,98,1,17,5.9,10
Entire home/apt,400,4,22,1.5,304
Private room,150,2,27,2.6,344
Entire home/apt,160,5,2,1.7,31
Private room,125,2,0,,133
Entire home/apt,249,7,0,,86
Entire home/apt,250,4,4,0.9,66
Private room,129,1,12,1.3,176
Entire home/apt,165,10,6,0.3,20
Entire home/apt,159,1,117,4,98
Entire home/apt,630,1,0,,37
Private room,115,1,68,5.3,158
Private room,119,2,18,0.9,358
Private room,139,1,3,2,356
Private room,145,28,0,,231
Private room,79,30,2,0.2,151
Shared room,50,5,7,0.7,285
Private room,99,10,15,0.6,353
Shared room,50,5,5,0.5,365
Private room,99,2,72,2.5,260
Entire home/apt,150,2,12,0.3,130
Entire home/apt,180,10,0,,155
Entire home/apt,120,1,2,0.4,134
Entire home/apt,157,2,21,2.7,124
Entire home/apt,185,3,2,0.6,271
Entire home/apt,650,3,28,1.3,313
Entire home/apt,350,5,9,0.3,123
Entire home/apt,150,2,0,,123
Entire home/apt,525,3,10,0.4,77
Private room,120,1,14,0.4,185
Entire home/apt,190,30,27,1.4,336
Entire home/apt,175,30,24,1.6,268
Entire home/apt,399,3,24,3.3,254
Entire home/apt,199,3,7,0.9,273
Private room,145,1,0,,0
Private room,89,3,0,,121
Entire home/apt,140,1,2,2,300
Entire home/apt,295,3,5,0.6,250
Entire home/apt,250,4,7,0.4,153
Entire home/apt,300,4,1,1,181
Entire home/apt,165,2,44,1.8,325
Entire home/apt,750,2,19,0.6,332
Entire home/apt,175,1,0,,129
Entire home/apt,183,1,18,6.8,241
Entire home/apt,165,3,3,0.5,149
Entire home/apt,500,3,50,3.1,315
Private room,99,5,0,,4
Entire home/apt,375,1,9,0.4,365
Entire home/apt,160,3,4,0.1,257
Shared room,50,5,8,0.8,365
Private room,136,1,0,,343
Private room,165,1,15,1.4,359
Private room,115,2,39,2.6,334
Entire home/apt,300,5,13,1,245
Entire home/apt,175,3,22,2.3,295
Private room,150,1,11,1.2,348
Entire home/apt,220,2,3,0.3,108
Private room,103,1,4,0.7,247
Private room,75,2,143,3.2,253
Entire home/apt,250,1,1,1,10
Private room,115,1,1,0.1,226
Entire home/apt,425,1,7,0.7,293
Entire home/apt,145,7,1,0,21
Entire home/apt,165,3,1,1,48
Entire home/apt,225,3,6,1.3,148
Private room,100,1,5,1.2,123
Entire home/apt,149,5,9,1.1,263
Private room,164,1,0,,77
Entire home/apt,500,3,57,3.7,221
Entire home/apt,350,3,9,2.1,120
Entire home/apt,199,3,12,0.5,200
Entire home/apt,360,3,7,0.9,228
Private room,120,2,10,0.3,324
Entire home/apt,168,2,42,2.7,248
Private room,85,1,1,0.8,16
Entire home/apt,183,3,19,1.1,182
Entire home/apt,600,2,78,3.6,278
Entire home/apt,199,4,5,0.3,212
Entire home/apt,199,2,8,1.6,281
Private room,150,1,0,,111
Private room,159,6,27,0.9,0
Entire home/apt,495,3,14,2.3,269
Entire home/apt,150,3,44,3,260
Private room,150,3,8,1,365
Entire home/apt,180,14,0,,167
Private room,77,1,119,4.3,278
Entire home/apt,185,1,0,,252
Private room,85,2,47,4.4,14
Entire home/apt,245,1,68,1.9,206
Entire home/apt,183,2,0,,351
Entire home/apt,500,2,2,0.2,253
Private room,120,1,0,,35
Private room,95,1,2,1.4,27
Entire home/apt,140,1,77,7.4,330
Private room,125,3,6,0.5,352
Private room,79,1,75,3.1,331
Private room,69,1,80,3.2,299
Private room,99,1,63,2.8,341
Shared room,50,30,27,1.1,275
Private room,138,1,0,,89
Entire home/apt,200,2,11,1.2,123
Entire home/apt,275,3,5,0.6,361
Private room,178,2,0,,365
Private room,150,1,1,0.1,365
Private room,165,2,16,2.4,27
Private room,100,1,3,0.7,122
Entire home/apt,200,2,5,0.2,217
Entire home/apt,180,2,51,3.8,292
Entire home/apt,290,3,32,1.6,327
Entire home/apt,775,1,0,,294
Entire home/apt,600,1,0,,83
Entire home/apt,200,1,2,0.2,312
Private room,99,17,0,,0
Entire home/apt,179,3,11,1.1,353
Entire home/apt,400,2,28,4.7,146
Entire home/apt,350,3,17,2,144
Entire home/apt,225,2,76,1.8,262
Entire home/apt,179,1,8,1.7,317
Entire home/apt,125,2,120,2.6,317
Private room,185,3,52,1.5,344
Private room,185,3,46,1.3,349
Private room,160,3,12,3.4,144
Entire home/apt,250,2,0,,347
Shared room,50,5,8,1.1,348
Entire home/apt,179,3,39,1.9,264
Entire home/apt,199,2,0,,11
Private room,110,1,16,1.7,87
Entire home/apt,230,2,17,1.5,365
Private room,75,2,12,0.5,215
Private room,69,7,2,0.1,337
Private room,95,2,1,0.7,304
Private room,164,1,0,,365
Private room,85,3,5,2.5,333
Private room,80,1,2,0.3,259
Private room,69,2,9,0.4,287
Entire home/apt,125,2,16,1.4,246
Private room,68,1,8,5.1,170
Private room,114,1,38,2.6,304
Entire home/apt,125,1,53,7.6,233
Entire home/apt,300,2,2,2,293
Private room,98,1,0,,365
Private room,60,2,105,3.2,77
Shared room,55,1,3,0.3,365
Entire home/apt,145,1,13,1.6,341
Entire home/apt,295,5,1,0.1,124
Entire home/apt,129,2,39,2.8,320
Entire home/apt,275,3,17,3.1,295
Private room,85,1,4,1,61
Private room,200,1,3,0.3,43
Private room,68,2,15,1.9,266
Private room,95,2,41,2.3,295
Entire home/apt,200,5,12,1.1,328
Entire home/apt,275,4,24,0.7,343
Entire home/apt,250,2,6,0.5,305
Entire home/apt,149,2,86,3.7,264
Entire home/apt,250,3,18,1.7,0
Private room,90,1,22,2,146
Entire home/apt,200,3,3,0.3,0
Private room,85,2,20,0.6,306
Private room,95,3,0,,331
Entire home/apt,200,1,6,0.4,215
Entire home/apt,450,3,39,2,30
Entire home/apt,220,3,7,0.7,243
Entire home/apt,200,8,4,0.4,180
Entire home/apt,355,6,0,,213
Private room,85,2,34,1.6,350
Private room,135,1,1,0.1,365
Private room,75,2,31,3.5,242
Entire home/apt,145,3,41,3.1,266
Private room,115,30,12,1,339
Entire home/apt,110,2,138,3.4,251
Private room,60,2,22,0.7,332
Entire home/apt,200,1,4,0.4,199
Private room,79,2,84,5,289
Entire home/apt,204,2,16,0.6,340
Entire home/apt,119,2,10,0.7,359
Entire home/apt,183,30,26,1.4,222
Private room,115,2,59,4.1,306
Entire home/apt,380,2,26,0.7,82
Private room,125,1,2,0.3,365
Entire home/apt,235,1,137,5.4,270
Entire home/apt,145,30,0,,233
Private room,79,2,97,5.9,266
Entire home/apt,125,2,11,3.1,109
Private room,100,1,5,1.1,365
Private room,65,30,3,0.3,9
Private room,85,1,1,1,346
Private room,81,3,79,4.8,266
Private room,99,1,0,,365
Entire home/apt,900,2,0,,179
Private room,90,1,4,0.3,338
Entire home/apt,152,1,9,0.5,364
Private room,135,1,0,,365
Private room,90,3,0,,354
Entire home/apt,120,3,38,2.1,29
Private room,140,1,1,0.5,365
Private room,135,1,2,0.2,365
Private room,115,2,23,1.2,59
Entire home/apt,200,1,62,4.3,277
Entire home/apt,115,3,1,0.2,365
Private room,64,4,7,0.8,29
Entire home/apt,350,1,8,0.8,365
Entire home/apt,150,5,1,0.1,0
Entire home/apt,190,1,30,0.6,3
Entire home/apt,178,3,3,0.8,346
Entire home/apt,180,1,6,0.5,0
Entire home/apt,350,2,1,0.1,365
Entire home/apt,169,2,11,0.6,0
Entire home/apt,189,1,179,5,294
Entire home/apt,135,1,20,3,301
Entire home/apt,99,6,0,,125
Entire home/apt,299,2,32,3.6,60
Private room,59,1,23,4.9,127
Entire home/apt,165,1,0,,365
Entire home/apt,350,5,0,,46
Entire home/apt,342,1,0,,365
Shared room,78,1,10,0.7,246
Entire home/apt,180,1,2,0.2,0
Entire home/apt,100,1,0,,197
Entire home/apt,60,7,0,,359
Entire home/apt,180,1,6,0.5,0
Entire home/apt,400,1,0,,227
Private room,129,2,0,,322
Shared room,155,2,0,,365
Entire home/apt,130,2,0,,58
Entire home/apt,179,2,10,0.8,0
Private room,110,1,2,1.7,257
Entire home/apt,300,5,0,,359
Entire home/apt,207,1,0,,3
Entire home/apt,199,2,20,3.2,343
Entire home/apt,200,1,2,0.3,184
Entire home/apt,140,14,0,,291
Entire home/apt,250,3,3,0.2,151
Entire home/apt,115,1,18,0.6,254
Entire home/apt,170,3,0,,113
Private room,250,3,4,0.5,365
Entire home/apt,98,1,0,,71
Private room,65,1,22,5.3,302
Private room,75,10,4,1.3,335
Entire home/apt,180,5,4,0.5,153
Entire home/apt,145,3,9,1,23
Private room,197,1,2,0.3,160
Private room,155,1,1,0.1,4
Entire home/apt,175,1,42,1.8,299
Private room,260,1,0,,360
Entire home/apt,145,2,20,1.1,226
Entire home/apt,169,3,3,1.5,154
Entire home/apt,130,2,14,0.8,0
Entire home/apt,140,7,1,0.2,164
Entire home/apt,220,1,2,0.3,365
Entire home/apt,129,1,25,1.1,348
Entire home/apt,160,1,3,0.3,282
Entire home/apt,129,2,31,4.4,350
Entire home/apt,149,2,0,,35
Entire home/apt,170,1,0,,21
Entire home/apt,259,1,22,2,316
Entire home/apt,225,5,0,,197
Private room,79,1,11,3,349
Private room,88,1,0,,72
Entire home/apt,130,5,8,0.5,312
Private room,68,1,16,5.6,314
Entire home/apt,210,2,164,3,66
Private room,89,1,11,3.6,135
Private room,59,1,8,4.9,128
Private room,148,1,20,2,139
Shared room,200,1,0,,57
Entire home/apt,175,3,69,3.9,118
Private room,120,1,0,,341
Entire home/apt,225,3,6,0.4,315
Private room,141,30,25,1.2,276
Entire home/apt,175,5,0,,151
Private room,79,1,17,4.7,323
Private room,145,30,8,0.9,191
Entire home/apt,145,2,1,1,128
Shared room,50,1,10,5.9,1
Entire home/apt,249,2,3,0.4,316
Private room,60,7,1,1,273
Entire home/apt,145,5,4,0.1,165
Private room,65,1,22,5.4,296
Entire home/apt,175,1,83,3.9,4
Entire home/apt,799,1,5,2.4,348
Entire home/apt,210,2,76,4.9,307
Private room,80,1,22,5.6,1
Shared room,89,2,1,0.5,365
Entire home/apt,230,2,43,3.9,299
Entire home/apt,250,1,9,0.3,123
Entire home/apt,400,2,0,,355
Entire home/apt,168,1,73,4.1,277
Private room,200,1,0,,127
Entire home/apt,170,2,7,1.4,32
Private room,59,1,2,2,128
Entire home/apt,130,2,5,1.1,195
Private room,103,3,0,,12
Private room,155,1,6,0.4,1
Entire home/apt,219,1,5,0.4,52
Entire home/apt,60,5,0,,365
Entire home/apt,225,2,0,,305
Entire home/apt,250,1,0,,364
Entire home/apt,125,1,67,3.8,254
Private room,68,1,19,4.6,320
Private room,179,1,5,4.1,24
Entire home/apt,225,2,38,6.3,322
Private room,175,3,18,1.1,355
Entire home/apt,195,2,37,3.7,2
Entire home/apt,158,1,1,1,0
Entire home/apt,175,2,2,0.5,353
Entire home/apt,125,1,0,,265
Entire home/apt,200,3,3,0.4,25
Private room,85,2,0,,12
Entire home/apt,145,30,6,0.6,338
Entire home/apt,87,1,190,4,221
Entire home/apt,204,1,0,,77
Private room,99,30,23,3.1,249
Private room,155,1,0,,138
Entire home/apt,130,2,3,1.5,5
Entire home/apt,120,3,2,0.3,0
Entire home/apt,175,1,50,2.4,3
Entire home/apt,125,1,1,1,50
Entire home/apt,179,2,26,1.3,2
Entire home/apt,175,2,1,0.2,172
Entire home/apt,189,2,4,2.4,85
Entire home/apt,150,1,10,0.6,98
Entire home/apt,210,1,14,3.1,182
Entire home/apt,190,1,9,1.6,286
Private room,125,2,12,0.6,212
Entire home/apt,200,2,0,,338
Entire home/apt,400,1,70,4.3,311
Entire home/apt,110,1,7,1.7,31
Private room,130,4,1,1,4
Shared room,114,1,5,1.8,74
Entire home/apt,250,2,52,2.7,307
Private room,89,1,6,4.5,131
Private room,70,1,26,1.8,301
Entire home/apt,180,1,2,0.3,0
Entire home/apt,169,1,26,1.3,1
Entire home/apt,145,1,72,4.6,3
Entire home/apt,60,7,0,,360
Entire home/apt,60,7,0,,338
Entire home/apt,180,1,3,0.3,0
Entire home/apt,175,2,3,2.4,75
Entire home/apt,220,1,1,0.2,169
Entire home/apt,150,1,14,2.1,126
Entire home/apt,149,3,11,1,237
Entire home/apt,139,2,12,1,217
Private room,80,1,1,0.5,329
Private room,149,3,0,,365
Entire home/apt,179,2,38,2.8,63
Entire home/apt,169,4,23,1.4,149
Entire home/apt,195,2,42,2.7,358
Private room,90,3,3,1.4,334
Entire home/apt,200,3,0,,31
Entire home/apt,65,7,7,0.1,103
Entire home/apt,189,2,26,2.3,336
Private room,70,1,5,3.6,7
Private room,225,1,0,,121
Entire home/apt,181,1,8,8,123
Entire home/apt,249,3,2,0.2,5
Entire home/apt,179,1,17,0.9,0
Entire home/apt,199,1,22,1.6,93
Entire home/apt,229,2,57,2.8,289
Private room,134,20,4,1.3,144
Entire home/apt,270,1,1,0.2,169
Shared room,50,15,0,,324
Entire home/apt,125,1,6,0.3,241
Entire home/apt,168,4,9,1.3,287
Private room,70,1,24,1.4,284
Private room,200,1,8,0.2,327
Private room,100,1,4,0.2,365
Entire home/apt,100,5,2,0.3,190
Private room,120,2,1,1,347
Entire home/apt,138,1,23,11.5,238
Entire home/apt,100,2,186,3.2,272
Entire home/apt,165,2,27,1.4,269
Private room,145,2,19,2,335
Private room,79,1,8,3.4,27
Entire home/apt,155,3,94,6.2,274
Private room,175,2,6,0.6,356
Private room,75,2,7,0.6,72
Entire home/apt,230,3,33,0.7,290
Entire home/apt,499,1,10,0.9,363
Entire home/apt,285,3,18,1.6,103
Shared room,80,1,0,,337
Shared room,45,1,0,,354
Private room,57,1,7,0.4,362
Shared room,90,1,0,,365
Entire home/apt,130,1,0,,4
Private room,80,1,0,,337
Entire home/apt,120,2,13,0.8,114
Private room,40,1,1,0.3,98
Private room,283,1,0,,0
Entire home/apt,229,1,0,,340
Entire home/apt,128,2,2,2,354
Entire home/apt,225,3,31,1,233
Shared room,35,1,23,1.5,358
Entire home/apt,99,1,1,0.2,135
Shared room,90,3,0,,288
Private room,44,3,10,2,150
Entire home/apt,170,5,0,,81
Private room,57,1,5,0.2,365
Shared room,90,1,0,,365
Entire home/apt,150,1,0,,288
Private room,121,1,13,1.3,365
Entire home/apt,120,5,0,,119
Private room,65,3,32,1.6,264
Entire home/apt,145,4,3,0.2,137
Private room,76,1,64,4.2,180
Private room,60,1,0,,365
Private room,70,1,8,2.3,165
Private room,86,2,0,,365
Entire home/apt,118,1,0,,286
Shared room,35,1,2,2,358
Shared room,35,1,10,1,353
Entire home/apt,250,3,3,0.3,288
Private room,150,1,0,,365
Private room,80,1,0,,85
Entire home/apt,225,1,14,2,173
Entire home/apt,249,2,5,0.4,365
Entire home/apt,325,3,14,0.5,229
Private room,199,1,0,,1
Entire home/apt,250,5,1,0.2,0
Entire home/apt,145,4,43,1.5,332
Entire home/apt,400,3,1,0.2,100
Shared room,95,1,24,1.4,360
Entire home/apt,550,1,23,0.7,281
Entire home/apt,175,2,1,0,122
Entire home/apt,225,2,6,0.3,134
Entire home/apt,155,2,13,3.5,240
Entire home/apt,750,3,1,1,157
Entire home/apt,250,3,29,0.7,236
Entire home/apt,649,3,5,0.6,288
Entire home/apt,149,2,40,0.9,130
Private room,149,3,10,3.8,47
Entire home/apt,297,6,11,0.6,318
Entire home/apt,675,7,2,0.2,123
Entire home/apt,350,2,6,0.8,121
Entire home/apt,170,2,1,1,345
Entire home/apt,225,3,8,0.4,125
Entire home/apt,1000,1,0,,123
Entire home/apt,120,2,26,2.3,304
Entire home/apt,200,2,3,0.1,121
Entire home/apt,150,1,0,,118
Entire home/apt,270,5,18,0.4,81
Private room,170,1,8,1,223
Entire home/apt,288,2,126,4,9
Private room,300,1,0,,365
Private room,250,1,0,,365
Private room,200,1,0,,365
Entire home/apt,298,2,3,0.2,227
Entire home/apt,250,7,0,,307
Private room,130,2,62,1.3,365
Private room,125,3,14,0.5,365
Entire home/apt,295,2,0,,365
Entire home/apt,172,7,0,,192
Entire home/apt,220,7,14,1.4,212
Entire home/apt,165,3,6,0.8,215
Private room,111,2,42,2,357
Entire home/apt,195,1,15,1.2,150
