room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Private room,105,4,10,0.4,348
Private room,150,1,1,0.1,219
Shared room,55,3,0,,361
Private room,120,1,0,,123
Entire home/apt,250,3,0,,222
Entire home/apt,350,1,8,0.3,185
Private room,115,4,0,,341
Entire home/apt,150,1,2,0.5,128
Entire home/apt,120,1,2,0.3,255
Private room,145,1,0,,117
Private room,140,1,25,0.8,77
Entire home/apt,159,2,40,3.9,339
Private room,79,2,15,2.8,352
Private room,100,1,20,1.9,357
Entire home/apt,170,1,0,,332
Entire home/apt,150,2,102,4.6,335
Entire home/apt,119,2,25,1.9,35
Entire home/apt,199,3,13,1.4,245
Entire home/apt,194,3,25,1,255
Entire home/apt,159,4,0,,135
Private room,89,2,28,1.3,65
Entire home/apt,160,2,0,,343
Private room,114,1,1,0.2,365
Entire home/apt,300,2,10,0.5,128
Entire home/apt,550,1,24,0.9,335
Entire home/apt,180,1,2,0.6,329
Entire home/apt,204,14,12,3.8,29
Private room,75,2,3,2.3,347
Private room,125,1,0,,308
Entire home/apt,150,1,28,1.3,255
Entire home/apt,120,14,9,0.2,123
Private room,300,1,0,,17
Entire home/apt,249,3,6,3.8,341
Entire home/apt,125,3,98,2.1,12
Private room,80,1,1,0.2,121
Entire home/apt,160,1,78,2.2,0
Private room,105,2,4,0.3,354
Private room,127,3,8,0.6,324
Private room,59,1,142,6,254
Entire home/apt,188,3,22,0.8,180
Entire home/apt,325,3,0,,259
Private room,165,3,16,1.8,247
Shared room,59,1,7,1.2,339
Private room,136,1,5,0.2,336
Private room,130,1,6,3.8,328
Entire home/apt,160,4,4,0.4,305
Private room,90,1,0,,365
Entire home/apt,275,1,4,1.5,354
Entire home/apt,299,1,41,5.2,236
Private room,100,1,1,1,92
Entire home/apt,190,3,1,0.1,123
Entire home/apt,199,1,21,1.8,0
Private room,94,1,13,2.6,0
Entire home/apt,95,4,12,0.3,142
Entire home/apt,175,2,14,2.8,8
Private room,88,1,0,,137
Entire home/apt,240,2,13,1.2,8
Shared room,53,3,2,0.8,259
Private room,145,3,59,3.2,235
Private room,55,4,1,0.6,121
Entire home/apt,190,2,0,,28
Private room,98,2,10,3.6,10
Entire home/apt,200,1,1,0.2,240
Entire home/apt,250,3,9,0.9,123
Private room,65,10,3,0.7,365
Entire home/apt,210,3,2,0.1,127
Private room,95,1,49,3.2,258
Entire home/apt,250,3,3,0.1,289
Private room,140,1,1,1,9
Entire home/apt,130,4,0,,265
Private room,120,1,48,2.4,357
Private room,150,2,7,1.9,134
Entire home/apt,575,1,30,2.5,348
Entire home/apt,450,3,2,0,87
